DATE,PAYEMS
1/1/1959,52478
2/1/1959,52688
3/1/1959,53014
4/1/1959,53321
5/1/1959,53550
6/1/1959,53681
7/1/1959,53804
8/1/1959,53336
9/1/1959,53428
10/1/1959,53358
11/1/1959,53634
12/1/1959,54174
1/1/1960,54274
2/1/1960,54513
3/1/1960,54454
4/1/1960,54813
5/1/1960,54475
6/1/1960,54348
7/1/1960,54306
8/1/1960,54272
9/1/1960,54227
10/1/1960,54142
11/1/1960,53961
12/1/1960,53742
1/1/1961,53683
2/1/1961,53557
3/1/1961,53659
4/1/1961,53627
5/1/1961,53786
6/1/1961,53977
7/1/1961,54123
8/1/1961,54298
9/1/1961,54388
10/1/1961,54522
11/1/1961,54742
12/1/1961,54872
1/1/1962,54891
2/1/1962,55188
3/1/1962,55275
4/1/1962,55602
5/1/1962,55628
6/1/1962,55644
7/1/1962,55746
8/1/1962,55838
9/1/1962,55978
10/1/1962,56041
11/1/1962,56056
12/1/1962,56028
1/1/1963,56115
2/1/1963,56230
3/1/1963,56320
4/1/1963,56580
5/1/1963,56616
6/1/1963,56659
7/1/1963,56794
8/1/1963,56910
9/1/1963,57078
10/1/1963,57283
11/1/1963,57255
12/1/1963,57361
1/1/1964,57487
2/1/1964,57753
3/1/1964,57897
4/1/1964,57922
5/1/1964,58089
6/1/1964,58219
7/1/1964,58412
8/1/1964,58619
9/1/1964,58903
10/1/1964,58793
11/1/1964,59218
12/1/1964,59421
1/1/1965,59582
2/1/1965,59800
3/1/1965,60003
4/1/1965,60259
5/1/1965,60491
6/1/1965,60690
7/1/1965,60965
8/1/1965,61228
9/1/1965,61490
10/1/1965,61719
11/1/1965,61996
12/1/1965,62322
1/1/1966,62529
2/1/1966,62796
3/1/1966,63192
4/1/1966,63437
5/1/1966,63712
6/1/1966,64111
7/1/1966,64301
8/1/1966,64507
9/1/1966,64643
10/1/1966,64854
11/1/1966,65019
12/1/1966,65199
1/1/1967,65407
2/1/1967,65429
3/1/1967,65530
4/1/1967,65466
5/1/1967,65620
6/1/1967,65750
7/1/1967,65888
8/1/1967,66143
9/1/1967,66164
10/1/1967,66225
11/1/1967,66703
12/1/1967,66900
1/1/1968,66804
2/1/1968,67215
3/1/1968,67295
4/1/1968,67556
5/1/1968,67652
6/1/1968,67905
7/1/1968,68126
8/1/1968,68330
9/1/1968,68484
10/1/1968,68721
11/1/1968,68984
12/1/1968,69248
1/1/1969,69439
2/1/1969,69699
3/1/1969,69905
4/1/1969,70072
5/1/1969,70328
6/1/1969,70636
7/1/1969,70729
8/1/1969,71008
9/1/1969,70914
10/1/1969,71121
11/1/1969,71086
12/1/1969,71241
1/1/1970,71176
2/1/1970,71305
3/1/1970,71451
4/1/1970,71348
5/1/1970,71124
6/1/1970,71029
7/1/1970,71053
8/1/1970,70937
9/1/1970,70944
10/1/1970,70521
11/1/1970,70409
12/1/1970,70792
1/1/1971,70865
2/1/1971,70807
3/1/1971,70860
4/1/1971,71036
5/1/1971,71247
6/1/1971,71254
7/1/1971,71315
8/1/1971,71373
9/1/1971,71614
10/1/1971,71642
11/1/1971,71847
12/1/1971,72109
1/1/1972,72441
2/1/1972,72648
3/1/1972,72944
4/1/1972,73162
5/1/1972,73469
6/1/1972,73758
7/1/1972,73709
8/1/1972,74141
9/1/1972,74264
10/1/1972,74674
11/1/1972,74973
12/1/1972,75268
1/1/1973,75617
2/1/1973,76014
3/1/1973,76284
4/1/1973,76455
5/1/1973,76648
6/1/1973,76887
7/1/1973,76913
8/1/1973,77168
9/1/1973,77276
10/1/1973,77607
11/1/1973,77920
12/1/1973,78031
1/1/1974,78100
2/1/1974,78254
3/1/1974,78296
4/1/1974,78382
5/1/1974,78549
6/1/1974,78604
7/1/1974,78636
8/1/1974,78619
9/1/1974,78610
10/1/1974,78630
11/1/1974,78265
12/1/1974,77652
1/1/1975,77293
2/1/1975,76918
3/1/1975,76648
4/1/1975,76460
5/1/1975,76624
6/1/1975,76521
7/1/1975,76770
8/1/1975,77153
9/1/1975,77228
10/1/1975,77540
11/1/1975,77685
12/1/1975,78017
1/1/1976,78503
2/1/1976,78816
3/1/1976,79048
4/1/1976,79292
5/1/1976,79312
6/1/1976,79376
7/1/1976,79547
8/1/1976,79704
9/1/1976,79892
10/1/1976,79911
11/1/1976,80240
12/1/1976,80448
1/1/1977,80690
2/1/1977,80988
3/1/1977,81391
4/1/1977,81728
5/1/1977,82088
6/1/1977,82488
7/1/1977,82834
8/1/1977,83075
9/1/1977,83532
10/1/1977,83800
11/1/1977,84173
12/1/1977,84410
1/1/1978,84594
2/1/1978,84948
3/1/1978,85460
4/1/1978,86162
5/1/1978,86509
6/1/1978,86950
7/1/1978,87204
8/1/1978,87483
9/1/1978,87621
10/1/1978,87956
11/1/1978,88391
12/1/1978,88671
1/1/1979,88808
2/1/1979,89055
3/1/1979,89479
4/1/1979,89417
5/1/1979,89789
6/1/1979,90108
7/1/1979,90217
8/1/1979,90300
9/1/1979,90327
10/1/1979,90481
11/1/1979,90573
12/1/1979,90672
1/1/1980,90800
2/1/1980,90883
3/1/1980,90994
4/1/1980,90849
5/1/1980,90420
6/1/1980,90101
7/1/1980,89840
8/1/1980,90099
9/1/1980,90213
10/1/1980,90490
11/1/1980,90747
12/1/1980,90943
1/1/1981,91033
2/1/1981,91105
3/1/1981,91210
4/1/1981,91283
5/1/1981,91296
6/1/1981,91490
7/1/1981,91601
8/1/1981,91565
9/1/1981,91477
10/1/1981,91380
11/1/1981,91171
12/1/1981,90895
1/1/1982,90565
2/1/1982,90563
3/1/1982,90434
4/1/1982,90150
5/1/1982,90107
6/1/1982,89865
7/1/1982,89521
8/1/1982,89363
9/1/1982,89183
10/1/1982,88907
11/1/1982,88786
12/1/1982,88771
1/1/1983,88990
2/1/1983,88917
3/1/1983,89090
4/1/1983,89364
5/1/1983,89644
6/1/1983,90021
7/1/1983,90437
8/1/1983,90129
9/1/1983,91247
10/1/1983,91520
11/1/1983,91875
12/1/1983,92230
1/1/1984,92673
2/1/1984,93157
3/1/1984,93429
4/1/1984,93792
5/1/1984,94098
6/1/1984,94479
7/1/1984,94789
8/1/1984,95032
9/1/1984,95344
10/1/1984,95629
11/1/1984,95982
12/1/1984,96107
1/1/1985,96372
2/1/1985,96503
3/1/1985,96842
4/1/1985,97038
5/1/1985,97312
6/1/1985,97459
7/1/1985,97648
8/1/1985,97840
9/1/1985,98045
10/1/1985,98233
11/1/1985,98443
12/1/1985,98609
1/1/1986,98732
2/1/1986,98847
3/1/1986,98934
4/1/1986,99121
5/1/1986,99248
6/1/1986,99155
7/1/1986,99473
8/1/1986,99588
9/1/1986,99934
10/1/1986,100121
11/1/1986,100308
12/1/1986,100509
1/1/1987,100678
2/1/1987,100919
3/1/1987,101164
4/1/1987,101499
5/1/1987,101728
6/1/1987,101900
7/1/1987,102247
8/1/1987,102420
9/1/1987,102647
10/1/1987,103138
11/1/1987,103372
12/1/1987,103661
1/1/1988,103753
2/1/1988,104214
3/1/1988,104489
4/1/1988,104732
5/1/1988,104962
6/1/1988,105326
7/1/1988,105550
8/1/1988,105674
9/1/1988,106013
10/1/1988,106276
11/1/1988,106617
12/1/1988,106898
1/1/1989,107161
2/1/1989,107427
3/1/1989,107621
4/1/1989,107791
5/1/1989,107913
6/1/1989,108027
7/1/1989,108069
8/1/1989,108120
9/1/1989,108369
10/1/1989,108476
11/1/1989,108752
12/1/1989,108836
1/1/1990,109188
2/1/1990,109432
3/1/1990,109636
4/1/1990,109670
5/1/1990,109833
6/1/1990,109857
7/1/1990,109823
8/1/1990,109609
9/1/1990,109521
10/1/1990,109373
11/1/1990,109220
12/1/1990,109172
1/1/1991,109050
2/1/1991,108731
3/1/1991,108568
4/1/1991,108351
5/1/1991,108249
6/1/1991,108337
7/1/1991,108290
8/1/1991,108301
9/1/1991,108334
10/1/1991,108361
11/1/1991,108301
12/1/1991,108333
1/1/1992,108367
2/1/1992,108313
3/1/1992,108360
4/1/1992,108515
5/1/1992,108648
6/1/1992,108717
7/1/1992,108799
8/1/1992,108922
9/1/1992,108955
10/1/1992,109135
11/1/1992,109279
12/1/1992,109502
1/1/1993,109794
2/1/1993,110044
3/1/1993,109992
4/1/1993,110295
5/1/1993,110570
6/1/1993,110751
7/1/1993,111060
8/1/1993,111209
9/1/1993,111455
10/1/1993,111733
11/1/1993,111989
12/1/1993,112323
1/1/1994,112598
2/1/1994,112779
3/1/1994,113240
4/1/1994,113587
5/1/1994,113923
6/1/1994,114237
7/1/1994,114607
8/1/1994,114899
9/1/1994,115254
10/1/1994,115457
11/1/1994,115872
12/1/1994,116174
1/1/1995,116504
2/1/1995,116692
3/1/1995,116907
4/1/1995,117065
5/1/1995,117050
6/1/1995,117285
7/1/1995,117377
8/1/1995,117639
9/1/1995,117880
10/1/1995,118029
11/1/1995,118168
12/1/1995,118325
1/1/1996,118318
2/1/1996,118734
3/1/1996,118990
4/1/1996,119156
5/1/1996,119489
6/1/1996,119770
7/1/1996,120015
8/1/1996,120201
9/1/1996,120402
10/1/1996,120663
11/1/1996,120949
12/1/1996,121145
1/1/1997,121363
2/1/1997,121675
3/1/1997,121989
4/1/1997,122284
5/1/1997,122551
6/1/1997,122816
7/1/1997,123112
8/1/1997,123092
9/1/1997,123577
10/1/1997,123924
11/1/1997,124229
12/1/1997,124551
1/1/1998,124813
2/1/1998,125019
3/1/1998,125164
4/1/1998,125447
5/1/1998,125847
6/1/1998,126078
7/1/1998,126208
8/1/1998,126547
9/1/1998,126745
10/1/1998,126950
11/1/1998,127224
12/1/1998,127599
1/1/1999,127704
2/1/1999,128118
3/1/1999,128234
4/1/1999,128598
5/1/1999,128810
6/1/1999,129088
7/1/1999,129422
8/1/1999,129569
9/1/1999,129781
10/1/1999,130179
11/1/1999,130466
12/1/1999,130780
1/1/2000,131009
2/1/2000,131120
3/1/2000,131605
4/1/2000,131884
5/1/2000,132106
6/1/2000,132060
7/1/2000,132226
8/1/2000,132231
9/1/2000,132356
10/1/2000,132352
11/1/2000,132553
12/1/2000,132718
1/1/2001,132698
2/1/2001,132785
3/1/2001,132753
4/1/2001,132456
5/1/2001,132412
6/1/2001,132296
7/1/2001,132171
8/1/2001,132024
9/1/2001,131765
10/1/2001,131452
11/1/2001,131142
12/1/2001,130985
1/1/2002,130852
2/1/2002,130732
3/1/2002,130721
4/1/2002,130617
5/1/2002,130633
6/1/2002,130683
7/1/2002,130583
8/1/2002,130587
9/1/2002,130498
10/1/2002,130621
11/1/2002,130618
12/1/2002,130470
1/1/2003,130579
2/1/2003,130443
3/1/2003,130233
4/1/2003,130176
5/1/2003,130197
6/1/2003,130192
7/1/2003,130183
8/1/2003,130153
9/1/2003,130252
10/1/2003,130439
11/1/2003,130482
12/1/2003,130595
1/1/2004,130765
2/1/2004,130822
3/1/2004,131139
4/1/2004,131410
5/1/2004,131694
6/1/2004,131789
7/1/2004,131849
8/1/2004,131936
9/1/2004,132082
10/1/2004,132433
11/1/2004,132509
12/1/2004,132633
1/1/2005,132778
2/1/2005,133033
3/1/2005,133153
4/1/2005,133516
5/1/2005,133687
6/1/2005,133940
7/1/2005,134297
8/1/2005,134495
9/1/2005,134551
10/1/2005,134644
11/1/2005,135001
12/1/2005,135161
1/1/2006,135425
2/1/2006,135731
3/1/2006,136040
4/1/2006,136211
5/1/2006,136247
6/1/2006,136328
7/1/2006,136522
8/1/2006,136688
9/1/2006,136824
10/1/2006,136848
11/1/2006,137069
12/1/2006,137253
1/1/2007,137476
2/1/2007,137554
3/1/2007,137781
4/1/2007,137843
5/1/2007,137993
6/1/2007,138072
7/1/2007,138042
8/1/2007,138017
9/1/2007,138103
10/1/2007,138174
11/1/2007,138292
12/1/2007,138398
1/1/2008,138399
2/1/2008,138323
3/1/2008,138255
4/1/2008,138038
5/1/2008,137847
6/1/2008,137689
7/1/2008,137492
8/1/2008,137209
9/1/2008,136758
10/1/2008,136294
11/1/2008,135546
12/1/2008,134849
1/1/2009,134069
2/1/2009,133311
3/1/2009,132493
4/1/2009,131825
5/1/2009,131470
6/1/2009,131002
7/1/2009,130661
8/1/2009,130480
9/1/2009,130240
10/1/2009,130062
11/1/2009,130059
12/1/2009,129808
1/1/2010,129798
2/1/2010,129700
3/1/2010,129864
4/1/2010,130115
5/1/2010,130645
6/1/2010,130501
7/1/2010,130420
8/1/2010,130424
9/1/2010,130339
10/1/2010,130620
11/1/2010,130754
12/1/2010,130835
1/1/2011,130842
2/1/2011,131052
3/1/2011,131277
4/1/2011,131604
5/1/2011,131704
6/1/2011,131936
7/1/2011,131991
8/1/2011,132124
9/1/2011,132345
10/1/2011,132557
11/1/2011,132701
12/1/2011,132901
1/1/2012,133246
2/1/2012,133518
3/1/2012,133744
4/1/2012,133827
5/1/2012,133935
6/1/2012,134007
7/1/2012,134153
8/1/2012,134330
9/1/2012,134512
10/1/2012,134671
11/1/2012,134834
12/1/2012,135075
1/1/2013,135265
2/1/2013,135544
3/1/2013,135689
4/1/2013,135876
5/1/2013,136091
6/1/2013,136269
7/1/2013,136391
8/1/2013,136635
9/1/2013,136819
10/1/2013,137039
11/1/2013,137314
12/1/2013,137368
1/1/2014,137552
2/1/2014,137707
3/1/2014,137986
4/1/2014,138298
5/1/2014,138501
6/1/2014,138833
7/1/2014,139076
8/1/2014,139258
9/1/2014,139563
10/1/2014,139805
11/1/2014,140089
12/1/2014,140366
1/1/2015,140562
2/1/2015,140829
3/1/2015,140924
4/1/2015,141202
5/1/2015,141540
6/1/2015,141695
7/1/2015,141989
8/1/2015,142130
9/1/2015,142265
10/1/2015,142585
11/1/2015,142810
12/1/2015,143083
1/1/2016,143198
2/1/2016,143410
3/1/2016,143666
4/1/2016,143856
5/1/2016,143901
6/1/2016,144152
7/1/2016,144515
8/1/2016,144664
9/1/2016,144961
10/1/2016,145069
11/1/2016,145189
12/1/2016,145408
1/1/2017,145639
2/1/2017,145845
3/1/2017,145975
4/1/2017,146172
5/1/2017,146389
6/1/2017,146588
7/1/2017,146772
8/1/2017,146907
9/1/2017,146999
10/1/2017,147147
11/1/2017,147377
12/1/2017,147521
1/1/2018,147670
2/1/2018,148058
3/1/2018,148281
4/1/2018,148426
5/1/2018,148755
6/1/2018,148966
7/1/2018,149022
8/1/2018,149272
9/1/2018,149361
10/1/2018,149526
11/1/2018,149622
12/1/2018,149805
1/1/2019,150114
2/1/2019,150092
3/1/2019,150320
4/1/2019,150563
5/1/2019,150630
6/1/2019,150797
7/1/2019,150879
8/1/2019,151111
9/1/2019,151318
10/1/2019,151447
11/1/2019,151662
12/1/2019,151764
1/1/2020,152098
2/1/2020,152371
3/1/2020,150944
4/1/2020,130430
5/1/2020,133055
6/1/2020,137620
7/1/2020,139064
8/1/2020,140799
9/1/2020,141760
10/1/2020,142479
11/1/2020,142743
12/1/2020,142475
1/1/2021,142969
2/1/2021,143544
3/1/2021,144328
4/1/2021,144614
5/1/2021,145096
6/1/2021,145789
7/1/2021,146558
8/1/2021,147221
9/1/2021,147778
10/1/2021,148559
11/1/2021,149173
12/1/2021,149742
1/1/2022,150106
2/1/2022,151010
3/1/2022,151424
4/1/2022,151678
5/1/2022,152042
6/1/2022,152412
7/1/2022,152980
8/1/2022,153332
9/1/2022,153682
10/1/2022,154006
11/1/2022,154296
12/1/2022,154535
1/1/2023,155007
2/1/2023,155255
3/1/2023,155472
4/1/2023,155689
5/1/2023,155970
6/1/2023,156075
7/1/2023,156311
8/1/2023,156476
9/1/2023,156773
10/1/2023,156923
