DATE,W875RX1
8/1/1981,5454.8
9/1/1981,5449.5
10/1/1981,5430.4
11/1/1981,5433.5
12/1/1981,5430.3
1/1/1982,5419.4
2/1/1982,5439.4
3/1/1982,5435
4/1/1982,5466.4
5/1/1982,5468.1
6/1/1982,5445.2
7/1/1982,5425.2
8/1/1982,5436.7
9/1/1982,5425.8
10/1/1982,5415.4
11/1/1982,5419.9
12/1/1982,5451.9
1/1/1983,5458.2
2/1/1983,5458.5
3/1/1983,5480.2
4/1/1983,5489.2
5/1/1983,5514.5
6/1/1983,5529.9
7/1/1983,5562.4
8/1/1983,5555.9
9/1/1983,5604.1
10/1/1983,5668.5
11/1/1983,5703.9
12/1/1983,5755.7
1/1/1984,5777.9
2/1/1984,5819.3
3/1/1984,5856.2
4/1/1984,5896.5
5/1/1984,5912.7
6/1/1984,5961.8
7/1/1984,5978.9
8/1/1984,6019.6
9/1/1984,6075.2
10/1/1984,6049.7
11/1/1984,6083.4
12/1/1984,6112.7
1/1/1985,6106.5
2/1/1985,6111.5
3/1/1985,6140.2
4/1/1985,6128.2
5/1/1985,6144.9
6/1/1985,6171.1
7/1/1985,6169.5
8/1/1985,6180.7
9/1/1985,6209.5
10/1/1985,6242.3
11/1/1985,6252.6
12/1/1985,6295.7
1/1/1986,6277.3
2/1/1986,6310.2
3/1/1986,6369.7
4/1/1986,6390.2
5/1/1986,6394.4
6/1/1986,6395.7
7/1/1986,6416.9
8/1/1986,6441.9
9/1/1986,6448
10/1/1986,6448.9
11/1/1986,6461.9
12/1/1986,6485.2
1/1/1987,6473.4
2/1/1987,6493.4
3/1/1987,6511.4
4/1/1987,6507.7
5/1/1987,6542.1
6/1/1987,6546.4
7/1/1987,6570.7
8/1/1987,6613.8
9/1/1987,6622.5
10/1/1987,6670.6
11/1/1987,6709.9
12/1/1987,6793.8
1/1/1988,6765.9
2/1/1988,6800.9
3/1/1988,6808.8
4/1/1988,6839.6
5/1/1988,6848.1
6/1/1988,6876.1
7/1/1988,6911.5
8/1/1988,6929.8
9/1/1988,6946.2
10/1/1988,6989.1
11/1/1988,6988
12/1/1988,7026
1/1/1989,7072.7
2/1/1989,7093
3/1/1989,7121.5
4/1/1989,7099.5
5/1/1989,7066.7
6/1/1989,7084
7/1/1989,7108.6
8/1/1989,7120.2
9/1/1989,7137.5
10/1/1989,7172.8
11/1/1989,7175.1
12/1/1989,7185.9
1/1/1990,7184.9
2/1/1990,7210.5
3/1/1990,7216.8
4/1/1990,7262.7
5/1/1990,7252.9
6/1/1990,7261.7
7/1/1990,7289.9
8/1/1990,7242
9/1/1990,7231.3
10/1/1990,7159.5
11/1/1990,7156.9
12/1/1990,7186.8
1/1/1991,7117.2
2/1/1991,7116.1
3/1/1991,7120
4/1/1991,7136.9
5/1/1991,7134.8
6/1/1991,7174.5
7/1/1991,7156.6
8/1/1991,7166.3
9/1/1991,7185.1
10/1/1991,7169.7
11/1/1991,7186.3
12/1/1991,7232.8
1/1/1992,7251.5
2/1/1992,7290.1
3/1/1992,7294.4
4/1/1992,7313.2
5/1/1992,7352.4
6/1/1992,7384.2
7/1/1992,7373.5
8/1/1992,7401
9/1/1992,7363.9
10/1/1992,7321
11/1/1992,7353.6
12/1/1992,7655
1/1/1993,7390.7
2/1/1993,7432.5
3/1/1993,7403.9
4/1/1993,7473.1
5/1/1993,7476.3
6/1/1993,7456.5
7/1/1993,7477.1
8/1/1993,7489.9
9/1/1993,7469.1
10/1/1993,7439.5
11/1/1993,7461.7
12/1/1993,7752.5
1/1/1994,7565
2/1/1994,7574.1
3/1/1994,7597.7
4/1/1994,7676.1
5/1/1994,7698.1
6/1/1994,7687.8
7/1/1994,7706.9
8/1/1994,7716.3
9/1/1994,7752.9
10/1/1994,7815.2
11/1/1994,7811
12/1/1994,7843.2
1/1/1995,7865
2/1/1995,7881.4
3/1/1995,7899.5
4/1/1995,7912.6
5/1/1995,7912.5
6/1/1995,7948.3
7/1/1995,7974.2
8/1/1995,7989.2
9/1/1995,8026.4
10/1/1995,8050.8
11/1/1995,8085.1
12/1/1995,8094
1/1/1996,8102.2
2/1/1996,8172.2
3/1/1996,8196
4/1/1996,8210.4
5/1/1996,8251.9
6/1/1996,8312.8
7/1/1996,8303
8/1/1996,8338
9/1/1996,8369.8
10/1/1996,8375.9
11/1/1996,8405.9
12/1/1996,8442
1/1/1997,8477
2/1/1997,8516
3/1/1997,8555.7
4/1/1997,8568.6
5/1/1997,8614.9
6/1/1997,8648.6
7/1/1997,8692.3
8/1/1997,8748.6
9/1/1997,8778.2
10/1/1997,8831.7
11/1/1997,8902.2
12/1/1997,8957.7
1/1/1998,9045
2/1/1998,9112.6
3/1/1998,9171.8
4/1/1998,9212.6
5/1/1998,9262.9
6/1/1998,9319.7
7/1/1998,9343.9
8/1/1998,9384
9/1/1998,9414.7
10/1/1998,9433.7
11/1/1998,9478.1
12/1/1998,9497.8
1/1/1999,9526.4
2/1/1999,9569.7
3/1/1999,9574.7
4/1/1999,9556.6
5/1/1999,9577.7
6/1/1999,9612.4
7/1/1999,9639.2
8/1/1999,9681.7
9/1/1999,9676.6
10/1/1999,9739.5
11/1/1999,9816.9
12/1/1999,9904
1/1/2000,10000.3
2/1/2000,10045.9
3/1/2000,10078.6
4/1/2000,10127.6
5/1/2000,10135.7
6/1/2000,10184.3
7/1/2000,10244.3
8/1/2000,10298.3
9/1/2000,10308.4
10/1/2000,10337.7
11/1/2000,10350.5
12/1/2000,10354.8
1/1/2001,10400.3
2/1/2001,10421.6
3/1/2001,10452.6
4/1/2001,10410.4
5/1/2001,10376.7
6/1/2001,10362.4
7/1/2001,10360.8
8/1/2001,10353.3
9/1/2001,10339.7
10/1/2001,10281.1
11/1/2001,10274.1
12/1/2001,10277.7
1/1/2002,10282.4
2/1/2002,10284.8
3/1/2002,10284.1
4/1/2002,10280
5/1/2002,10307.9
6/1/2002,10339.8
7/1/2002,10302.9
8/1/2002,10300.4
9/1/2002,10302.1
10/1/2002,10322.1
11/1/2002,10344.9
12/1/2002,10360.2
1/1/2003,10324.3
2/1/2003,10285.2
3/1/2003,10298.6
4/1/2003,10341
5/1/2003,10417.3
6/1/2003,10450
7/1/2003,10457.1
8/1/2003,10473.1
9/1/2003,10491.3
10/1/2003,10547.7
11/1/2003,10621.1
12/1/2003,10611.8
1/1/2004,10578
2/1/2004,10580.1
3/1/2004,10619.2
4/1/2004,10655.2
5/1/2004,10720.8
6/1/2004,10734.6
7/1/2004,10788.8
8/1/2004,10816.8
9/1/2004,10834.4
10/1/2004,10842.5
11/1/2004,10809
12/1/2004,11216.7
1/1/2005,10842
2/1/2005,10836.7
3/1/2005,10877.8
4/1/2005,10909.6
5/1/2005,10963.9
6/1/2005,10996.5
7/1/2005,11029.5
8/1/2005,11028.8
9/1/2005,10998.5
10/1/2005,11081.4
11/1/2005,11158.5
12/1/2005,11206.7
1/1/2006,11309.9
2/1/2006,11389.7
3/1/2006,11441.6
4/1/2006,11453.9
5/1/2006,11437.1
6/1/2006,11447.3
7/1/2006,11430.6
8/1/2006,11414.5
9/1/2006,11486.6
10/1/2006,11562.6
11/1/2006,11624.9
12/1/2006,11683.5
1/1/2007,11666.7
2/1/2007,11713.7
3/1/2007,11765.5
4/1/2007,11801.5
5/1/2007,11811.5
6/1/2007,11807.8
7/1/2007,11812
8/1/2007,11798.6
9/1/2007,11808.3
10/1/2007,11791.6
11/1/2007,11784.9
12/1/2007,11825.3
1/1/2008,11830.2
2/1/2008,11841.2
3/1/2008,11844.7
4/1/2008,11775
5/1/2008,11728.6
6/1/2008,11669.1
7/1/2008,11623.9
8/1/2008,11680.1
9/1/2008,11678.3
10/1/2008,11749.8
11/1/2008,11812.4
12/1/2008,11680.5
1/1/2009,11475.8
2/1/2009,11296.4
3/1/2009,11225.3
4/1/2009,11215.7
5/1/2009,11207.2
6/1/2009,11120.7
7/1/2009,11067.3
8/1/2009,11040.4
9/1/2009,11032.9
10/1/2009,11031.5
11/1/2009,11063.7
12/1/2009,11090.7
1/1/2010,11065.2
2/1/2010,11055.9
3/1/2010,11099.4
4/1/2010,11218.9
5/1/2010,11326.7
6/1/2010,11339.4
7/1/2010,11368.1
8/1/2010,11387.7
9/1/2010,11399.6
10/1/2010,11418.9
11/1/2010,11440.1
12/1/2010,11523.9
1/1/2011,11708.4
2/1/2011,11761.8
3/1/2011,11734
4/1/2011,11719.4
5/1/2011,11715.9
6/1/2011,11785.7
7/1/2011,11856.3
8/1/2011,11854.7
9/1/2011,11840.1
10/1/2011,11842.3
11/1/2011,11829.9
12/1/2011,11949.8
1/1/2012,12032
2/1/2012,12108.5
3/1/2012,12142.7
4/1/2012,12191.2
5/1/2012,12183
6/1/2012,12168.5
7/1/2012,12080.6
