DATE,RETAIL
1973-08-01,42648
1973-09-01,43221
1973-10-01,43461
1973-11-01,43807
1973-12-01,42669
1974-01-01,43204
1974-02-01,43461
1974-03-01,44087
1974-04-01,44676
1974-05-01,45187
1974-06-01,45297
1974-07-01,46026
1974-08-01,47335
1974-09-01,46203
1974-10-01,45770
1974-11-01,45531
1974-12-01,44836
1975-01-01,46482
1975-02-01,47158
1975-03-01,46091
1975-04-01,46729
1975-05-01,48890
1975-06-01,48836
1975-07-01,49599
1975-08-01,50134
1975-09-01,50232
1975-10-01,50565
1975-11-01,50775
1975-12-01,51568
1976-01-01,52854
1976-02-01,52482
1976-03-01,52830
1976-04-01,53868
1976-05-01,53433
1976-06-01,54540
1976-07-01,54946
1976-08-01,54650
1976-09-01,54655
1976-10-01,55476
1976-11-01,55707
1976-12-01,57294
1977-01-01,56888
1977-02-01,58198
1977-03-01,58679
1977-04-01,59589
1977-05-01,59328
1977-06-01,59643
1977-07-01,60327
1977-08-01,60275
1977-09-01,60539
1977-10-01,61743
1977-11-01,62232
1977-12-01,62517
1978-01-01,61283
1978-02-01,62730
1978-03-01,64277
1978-04-01,65882
1978-05-01,66305
1978-06-01,67452
1978-07-01,67017
1978-08-01,67902
1978-09-01,68218
1978-10-01,69432
1978-11-01,70495
1978-12-01,71429
1979-01-01,70989
1979-02-01,71588
1979-03-01,73031
1979-04-01,72863
1979-05-01,73617
1979-06-01,73932
1979-07-01,73614
1979-08-01,76338
1979-09-01,77092
1979-10-01,76539
1979-11-01,77560
1979-12-01,77782
1980-01-01,79430
1980-02-01,78770
1980-03-01,77585
1980-04-01,76556
1980-05-01,76602
1980-06-01,77656
1980-07-01,79279
1980-08-01,80067
1980-09-01,80325
1980-10-01,82197
1980-11-01,82870
1980-12-01,82971
1981-01-01,84926
1981-02-01,86031
1981-03-01,86554
1981-04-01,85996
1981-05-01,85364
1981-06-01,86146
1981-07-01,86817
1981-08-01,88194
1981-09-01,87829
1981-10-01,86642
1981-11-01,86504
1981-12-01,86874
1982-01-01,85933
1982-02-01,88204
1982-03-01,87401
1982-04-01,87805
1982-05-01,88770
1982-06-01,87351
1982-07-01,88899
1982-08-01,88464
1982-09-01,89670
1982-10-01,90712
1982-11-01,92119
1982-12-01,92135
1983-01-01,91521
1983-02-01,91774
1983-03-01,94219
1983-04-01,94479
1983-05-01,96062
1983-06-01,98278
1983-07-01,98854
1983-08-01,97382
1983-09-01,99241
1983-10-01,100780
1983-11-01,102092
1983-12-01,102734
1984-01-01,105065
1984-02-01,104941
1984-03-01,104203
1984-04-01,106137
1984-05-01,106830
1984-06-01,108358
1984-07-01,106655
1984-08-01,106064
1984-09-01,107569
1984-10-01,108090
1984-11-01,110153
1984-12-01,109688
1985-01-01,110516
1985-02-01,111701
1985-03-01,112269
1985-04-01,113720
1985-05-01,114433
1985-06-01,113795
1985-07-01,113994
1985-08-01,115629
1985-09-01,118888
1985-10-01,115440
1985-11-01,115997
1985-12-01,117447
1986-01-01,118585
1986-02-01,117480
1986-03-01,116665
1986-04-01,117409
1986-05-01,119114
1986-06-01,119240
1986-07-01,119647
1986-08-01,120871
1986-09-01,127973
1986-10-01,122617
1986-11-01,122048
1986-12-01,127561
1987-01-01,119328
1987-02-01,125274
1987-03-01,126124
1987-04-01,127157
1987-05-01,127134
1987-06-01,128891
1987-07-01,129741
1987-08-01,132164
1987-09-01,130422
1987-10-01,129977
1987-11-01,130469
1987-12-01,132097
1988-01-01,132543
1988-02-01,133438
1988-03-01,135736
1988-04-01,135123
1988-05-01,136327
1988-06-01,136981
1988-07-01,137369
1988-08-01,138158
1988-09-01,137707
1988-10-01,140607
1988-11-01,141779
1988-12-01,142794
1989-01-01,143839
1989-02-01,141914
1989-03-01,142727
1989-04-01,145396
1989-05-01,146366
1989-06-01,146410
1989-07-01,147142
1989-08-01,149444
1989-09-01,149298
1989-10-01,147648
1989-11-01,148939
1989-12-01,149324
1990-01-01,154002
1990-02-01,152810
1990-03-01,153395
1990-04-01,152274
1990-05-01,151967
1990-06-01,153312
1990-07-01,153836
1990-08-01,154595
1990-09-01,155106
1990-10-01,155673
1990-11-01,155240
1990-12-01,153953
1991-01-01,150514
1991-02-01,152977
1991-03-01,153844
1991-04-01,155407
1991-05-01,155462
1991-06-01,155798
1991-07-01,156310
1991-08-01,155442
1991-09-01,155590
1991-10-01,154584
1991-11-01,155394
1991-12-01,155264
1992-01-01,158221
1992-02-01,159829
1992-03-01,159208
1992-04-01,159182
1992-05-01,160059
1992-06-01,160757
1992-07-01,161241
1992-08-01,162354
1992-09-01,164194
1992-10-01,165960
1992-11-01,166362
1992-12-01,167878
1993-01-01,168961
1993-02-01,168153
1993-03-01,167306
1993-04-01,170097
1993-05-01,172254
1993-06-01,172320
1993-07-01,173893
1993-08-01,174556
1993-09-01,175414
1993-10-01,177346
1993-11-01,179266
1993-12-01,180561
1994-01-01,179353
1994-02-01,181982
1994-03-01,184450
1994-04-01,185259
1994-05-01,184150
1994-06-01,186135
1994-07-01,186310
1994-08-01,189394
1994-09-01,190183
1994-10-01,192887
1994-11-01,192970
1994-12-01,193055
1995-01-01,194592
1995-02-01,191149
1995-03-01,192642
1995-04-01,193458
1995-05-01,195701
1995-06-01,197309
1995-07-01,197515
1995-08-01,198580
1995-09-01,199155
1995-10-01,198591
1995-11-01,200320
1995-12-01,202331
1996-01-01,201391
1996-02-01,203647
1996-03-01,205534
1996-04-01,206506
1996-05-01,207519
1996-06-01,207920
1996-07-01,208293
1996-08-01,207754
1996-09-01,210545
1996-10-01,212290
1996-11-01,212197
1996-12-01,212907
1997-01-01,214362
1997-02-01,216017
1997-03-01,216289
1997-04-01,215573
1997-05-01,212634
1997-06-01,216262
1997-07-01,218834
1997-08-01,220112
1997-09-01,220354
1997-10-01,219836
1997-11-01,220905
1997-12-01,221753
1998-01-01,222108
1998-02-01,222574
1998-03-01,223975
1998-04-01,226183
1998-05-01,227791
1998-06-01,230046
1998-07-01,228231
1998-08-01,228078
1998-09-01,230610
1998-10-01,233751
1998-11-01,235251
1998-12-01,237116
1999-01-01,239154
1999-02-01,241580
1999-03-01,242316
1999-04-01,244556
1999-05-01,247325
1999-06-01,247995
