DATE,INDPRO
8/1/1938,6.3453
9/1/1938,6.5335
10/1/1938,6.6948
11/1/1938,6.9637
12/1/1938,7.0443
1/1/1939,7.0443
2/1/1939,7.0981
3/1/1939,7.125
4/1/1939,7.0981
5/1/1939,7.0712
6/1/1939,7.2325
7/1/1939,7.4476
8/1/1939,7.5552
9/1/1939,8.0122
10/1/1939,8.4155
11/1/1939,8.6306
12/1/1939,8.6306
1/1/1940,8.5231
2/1/1940,8.2542
3/1/1940,8.066
4/1/1940,8.2273
5/1/1940,8.4693
6/1/1940,8.7382
7/1/1940,8.8457
8/1/1940,8.8995
9/1/1940,9.0877
10/1/1940,9.2221
11/1/1940,9.4372
12/1/1940,9.7599
1/1/1941,10.0019
2/1/1941,10.2976
3/1/1941,10.6203
4/1/1941,10.6471
5/1/1941,11.1311
6/1/1941,11.2118
7/1/1941,11.3462
8/1/1941,11.4806
9/1/1941,11.4806
10/1/1941,11.5882
11/1/1941,11.642
12/1/1941,11.8302
1/1/1942,12.0721
2/1/1942,12.2872
3/1/1942,12.4217
4/1/1942,12.0721
5/1/1942,12.099
6/1/1942,12.1259
7/1/1942,12.4217
8/1/1942,12.7981
9/1/1942,13.0938
10/1/1942,13.524
11/1/1942,13.8467
12/1/1942,14.1693
1/1/1943,14.3037
2/1/1943,14.6801
3/1/1943,14.7877
4/1/1943,14.9759
5/1/1943,15.0834
6/1/1943,15.0028
7/1/1943,15.4599
8/1/1943,15.7825
9/1/1943,16.1858
10/1/1943,16.4278
11/1/1943,16.6429
12/1/1943,16.4278
1/1/1944,16.616
2/1/1944,16.7504
3/1/1944,16.7235
4/1/1944,16.7235
5/1/1944,16.616
6/1/1944,16.5622
7/1/1944,16.5353
8/1/1944,16.7504
9/1/1944,16.6429
10/1/1944,16.6967
11/1/1944,16.5622
12/1/1944,16.5084
1/1/1945,16.3471
2/1/1945,16.2934
3/1/1945,16.1858
4/1/1945,15.8901
5/1/1945,15.4599
6/1/1945,15.1103
7/1/1945,14.7608
8/1/1945,13.2283
9/1/1945,12.0453
10/1/1945,11.5613
11/1/1945,11.9915
12/1/1945,12.0453
1/1/1946,11.3731
2/1/1946,10.8085
3/1/1946,11.9377
4/1/1946,11.7226
5/1/1946,11.2924
6/1/1946,11.9915
7/1/1946,12.3948
8/1/1946,12.8519
9/1/1946,13.0938
