DATE,T10Y3M
5/1/2000,0.445909091
6/1/2000,0.235454545
7/1/2000,-0.0885
8/1/2000,-0.451304348
9/1/2000,-0.376
10/1/2000,-0.556190476
11/1/2000,-0.639047619
12/1/2000,-0.6965
1/1/2001,-0.124285714
2/1/2001,0.093684211
3/1/2001,0.35
4/1/2001,1.175
5/1/2001,1.688181818
6/1/2001,1.719047619
7/1/2001,1.642857143
8/1/2001,1.533478261
9/1/2001,2.039411765
10/1/2001,2.369090909
11/1/2001,2.745
12/1/2001,3.3675
1/1/2002,3.350952381
2/1/2002,3.154736842
3/1/2002,3.459
4/1/2002,3.465909091
5/1/2002,3.404090909
6/1/2002,3.1945
7/1/2002,2.939545455
8/1/2002,2.61
9/1/2002,2.211
10/1/2002,2.330909091
11/1/2002,2.793684211
12/1/2002,2.821428571
1/1/2003,2.85952381
2/1/2003,2.717368421
3/1/2003,2.656190476
4/1/2003,2.806190476
5/1/2003,2.480952381
6/1/2003,2.398095238
7/1/2003,3.055
8/1/2003,3.476190476
9/1/2003,3.319047619
10/1/2003,3.348636364
11/1/2003,3.347777778
12/1/2003,3.353181818
1/1/2004,3.25
2/1/2004,3.139473684
3/1/2004,2.873043478
4/1/2004,3.38952381
5/1/2004,3.676
6/1/2004,3.445714286
7/1/2004,3.14047619
8/1/2004,2.778181818
9/1/2004,2.444285714
10/1/2004,2.3025
11/1/2004,2.0865
12/1/2004,2.008181818
1/1/2005,1.8505
2/1/2005,1.585789474
3/1/2005,1.701818182
4/1/2005,1.504285714
5/1/2005,1.242380952
6/1/2005,0.961818182
7/1/2005,0.89
8/1/2005,0.744347826
9/1/2005,0.704761905
10/1/2005,0.671
11/1/2005,0.5605
12/1/2005,0.496190476
1/1/2006,0.08
2/1/2006,0.029473684
3/1/2006,0.096086957
4/1/2006,0.268947368
5/1/2006,0.273636364
6/1/2006,0.188636364
7/1/2006,0.011
8/1/2006,-0.213913043
9/1/2006,-0.211
10/1/2006,-0.317142857
11/1/2006,-0.478095238
12/1/2006,-0.4085
1/1/2007,-0.345714286
2/1/2007,-0.440526316
3/1/2007,-0.515454545
4/1/2007,-0.312857143
5/1/2007,-0.121363636
6/1/2007,0.360952381
7/1/2007,0.043333333
8/1/2007,0.357826087
9/1/2007,0.527368421
10/1/2007,0.525
11/1/2007,0.794
12/1/2007,1.031
1/1/2008,0.924285714
2/1/2008,1.5635
3/1/2008,2.2265
4/1/2008,2.363181818
5/1/2008,2.115714286
6/1/2008,2.209047619
7/1/2008,2.352727273
8/1/2008,2.132857143
9/1/2008,2.53952381
10/1/2008,3.128181818
11/1/2008,3.332777778
12/1/2008,2.382272727
1/1/2009,2.388
2/1/2009,2.574736842
3/1/2009,2.603636364
4/1/2009,2.769047619
5/1/2009,3.116
6/1/2009,3.543181818
7/1/2009,3.378636364
8/1/2009,3.415238095
9/1/2009,3.278571429
10/1/2009,3.313333333
11/1/2009,3.350526316
12/1/2009,3.535454545
1/1/2010,3.671578947
2/1/2010,3.582105263
3/1/2010,3.576956522
4/1/2010,3.684545455
5/1/2010,3.26
6/1/2010,3.080454545
7/1/2010,2.853809524
8/1/2010,2.543636364
9/1/2010,2.495714286
10/1/2010,2.4055
11/1/2010,2.62
12/1/2010,3.15
1/1/2011,3.242
2/1/2011,3.444210526
3/1/2011,3.313913043
4/1/2011,3.3965
5/1/2011,3.127619048
6/1/2011,2.965
7/1/2011,2.9655
8/1/2011,2.278695652
9/1/2011,1.961428571
10/1/2011,2.133
11/1/2011,1.9995
12/1/2011,1.966666667
1/1/2012,1.932
2/1/2012,1.8755
3/1/2012,2.088636364
4/1/2012,1.969047619
5/1/2012,1.713636364
6/1/2012,1.530952381
7/1/2012,1.42952381
8/1/2012,1.575652174
9/1/2012,1.617894737
10/1/2012,1.641428571
11/1/2012,1.5605
12/1/2012,1.649
1/1/2013,1.84047619
2/1/2013,1.885263158
3/1/2013,1.8705
4/1/2013,1.699090909
5/1/2013,1.884090909
6/1/2013,2.2495
7/1/2013,2.546818182
8/1/2013,2.693636364
9/1/2013,2.7935
10/1/2013,2.568636364
11/1/2013,2.650526316
12/1/2013,2.835238095
1/1/2014,2.814761905
2/1/2014,2.656842105
3/1/2014,2.670952381
4/1/2014,2.674285714
5/1/2014,2.526666667
6/1/2014,2.562857143
7/1/2014,2.515909091
8/1/2014,2.387142857
9/1/2014,2.514285714
10/1/2014,2.287272727
11/1/2014,2.303888889
12/1/2014,2.178181818
1/1/2015,1.854
2/1/2015,1.957368421
3/1/2015,2.015
4/1/2015,1.911818182
5/1/2015,2.181
6/1/2015,2.348636364
7/1/2015,2.292272727
8/1/2015,2.095238095
9/1/2015,2.148571429
10/1/2015,2.053333333
11/1/2015,2.136842105
12/1/2015,2.014090909
1/1/2016,1.827894737
2/1/2016,1.465
3/1/2016,1.591818182
4/1/2016,1.577142857
5/1/2016,1.52952381
6/1/2016,1.371363636
7/1/2016,1.203
8/1/2016,1.256956522
9/1/2016,1.336190476
10/1/2016,1.433
11/1/2016,1.6895
12/1/2016,1.98
1/1/2017,1.9135
2/1/2017,1.892631579
3/1/2017,1.733913043
4/1/2017,1.488947368
5/1/2017,1.400454545
6/1/2017,1.187727273
7/1/2017,1.2315
8/1/2017,1.176956522
9/1/2017,1.1555
10/1/2017,1.266666667
11/1/2017,1.102857143
12/1/2017,1.061
1/1/2018,1.151428571
2/1/2018,1.271052632
3/1/2018,1.115714286
4/1/2018,1.080952381
5/1/2018,1.078181818
6/1/2018,0.977142857
7/1/2018,0.894285714
8/1/2018,0.816521739
9/1/2018,0.838947368
10/1/2018,0.859090909
11/1/2018,0.743
12/1/2018,0.420526316
1/1/2019,0.29
2/1/2019,0.238421053
3/1/2019,0.117142857
4/1/2019,0.09952381
5/1/2019,-0.008181818
6/1/2019,-0.1455
7/1/2019,-0.085909091
8/1/2019,-0.364090909
9/1/2019,-0.235
10/1/2019,0.028181818
11/1/2019,0.24
12/1/2019,0.297619048
1/1/2020,0.205238095
2/1/2020,-0.040526316
3/1/2020,0.574545455
4/1/2020,0.51952381
5/1/2020,0.5465
6/1/2020,0.569090909
7/1/2020,0.496818182
8/1/2020,0.545714286
9/1/2020,0.570952381
10/1/2020,0.686666667
11/1/2020,0.778947368
12/1/2020,0.846363636
1/1/2021,0.997368421
2/1/2021,1.215263158
3/1/2021,1.579565217
4/1/2021,1.614090909
5/1/2021,1.603
6/1/2021,1.483181818
7/1/2021,1.266190476
8/1/2021,1.228636364
9/1/2021,1.332857143
10/1/2021,1.5305
11/1/2021,1.508
12/1/2021,1.406363636
1/1/2022,1.6185
2/1/2022,1.619473684
3/1/2022,1.680434783
4/1/2022,1.984
5/1/2022,1.905238095
6/1/2022,1.604761905
7/1/2022,0.598
8/1/2022,0.176086957
9/1/2022,0.297142857
10/1/2022,0.111
11/1/2022,-0.432
12/1/2022,-0.741904762
1/1/2023,-1.156
2/1/2023,-1.041052632
3/1/2023,-1.195652174
4/1/2023,-1.6135
5/1/2023,-1.734545455
6/1/2023,-1.667619048
7/1/2023,-1.589
8/1/2023,-1.391304348
9/1/2023,-1.1765
10/1/2023,-0.806666667
11/1/2023,-1.02
